title,titleUrl,time,channel_name,channel_url,date,year,month,month_name,weekday,day,hour,minute
Ustadz Abdul Qodir Imam - Surah Al Fatihah & Al A'la,https://www.youtube.com/watch?v=OyoiFWOc0ck,2024-09-14 18:50:45,SALAM JAMBI,https://www.youtube.com/channel/UCqiMhG-kFihfEViUFMp1AIw,2024-09-14,2024,9,September,Saturday,14,18,50
Eid Salah - Surah Al-A'laa - Mufti Menk,https://www.youtube.com/watch?v=DS0EoP0LnEE,2024-09-14 18:49:36,Mufti Menk,https://www.youtube.com/channel/UCNB_OaI4524fASt8h0IL8dw,2024-09-14,2024,9,September,Saturday,14,18,49
Surah Al A'la Melodious Recitation by Abdur Rahman Mossad,https://www.youtube.com/watch?v=KYxTqls4pnI,2024-09-14 18:48:33,The Hayat Studio,https://www.youtube.com/channel/UCGHZFLOn5WOCp9r13Qm4JdQ,2024-09-14,2024,9,September,Saturday,14,18,48
Surat An-Naba' (The Tidings) | Mishary Rashid Alafasy | مشاري بن راشد العفاسي | سورة النبإ,https://www.youtube.com/watch?v=JZW6aiuUY7w,2024-09-14 18:48:23,AYAT,https://www.youtube.com/channel/UCmr7s-S9m-0BKrOr7red8rA,2024-09-14,2024,9,September,Saturday,14,18,48
Surat Al-A'la (The Most High) | Mishary Rashid Alafasy | مشاري بن راشد العفاسي | سورة الأعلى,https://www.youtube.com/watch?v=F6hBBJ4K_Kg,2024-09-14 18:47:30,AYAT,https://www.youtube.com/channel/UCmr7s-S9m-0BKrOr7red8rA,2024-09-14,2024,9,September,Saturday,14,18,47
Surah Al-Ala Beautiful Recitation | Sabbihisma surah with urdu translation | Sabbihisma Rabbikal,https://www.youtube.com/watch?v=YQKYwcjusH8,2024-09-14 18:47:05,Bakht Wali,https://www.youtube.com/channel/UC5CrODCHkDhoG4eN--bWHhg,2024-09-14,2024,9,September,Saturday,14,18,47
When I eat this I’m full all day,https://www.youtube.com/watch?v=QK_wOhwTW4w,2024-09-14 16:57:00,Sara - Nutrient Matters,https://www.youtube.com/channel/UCJDFCU5YBxZKLRIuerFiFdA,2024-09-14,2024,9,September,Saturday,14,16,57
Prepare your iPhone for iOS 18 | iOS 18 Update Warning & Step by step guide | iOS 18 Green Screen,https://www.youtube.com/watch?v=9aB1kWvV3Bo,2024-09-14 16:55:20,Nabeel Nawab,https://www.youtube.com/channel/UCgl4mMudw205_I9_jQvG5eA,2024-09-14,2024,9,September,Saturday,14,16,55
Day 331: Kya hame ye khareedna chahea?,https://www.youtube.com/watch?v=VGQa72_xUcA,2024-09-14 16:54:56,HalfFried,https://www.youtube.com/channel/UC_K9JqOQk5sbv3P0QmoRV1A,2024-09-14,2024,9,September,Saturday,14,16,54
@SoulAman vs @MortaLyt 1v1 Tdm with 50000 Prize Pool🏆#bgmi #mortal #soulaman #shorts,https://www.youtube.com/watch?v=aZeF4dabGSo,2024-09-14 16:54:53,IronFist Gaming,https://www.youtube.com/channel/UC5uSTgbgm66fxq1PuJJNHuQ,2024-09-14,2024,9,September,Saturday,14,16,54
#ECL | Match 4 | Bangalore Bashers vs Mumbai Disruptors | Abhishek Malhan vs Munawar Faruqui,https://www.youtube.com/watch?v=CI6mzzg4jiw,2024-09-14 16:10:40,Entertainers Cricket League (ECL),https://www.youtube.com/channel/UCXxfSqhos1wxKrrDs7OlK1A,2024-09-14,2024,9,September,Saturday,14,16,10
Water In Hindi = Pani 🤣 Funny Gk Question Challenge For Roll | P-5 | 😱😋#gkchallenge #shorts,https://www.youtube.com/watch?v=w1KLwgtLzN4,2024-09-14 16:06:44,Sahil Khan NT,https://www.youtube.com/channel/UCGptRED3Hf1JCrnRmeckLcA,2024-09-14,2024,9,September,Saturday,14,16,6
#steefanpubg #pubgmobile #youssefelpop,https://www.youtube.com/watch?v=Z4a6BkA5_Ck,2024-09-14 16:06:35,Steefan Pubg ,https://www.youtube.com/channel/UCjfxOZHgQxZiPf-HsKClC9Q,2024-09-14,2024,9,September,Saturday,14,16,6
How much profit he get in plant fertiliser business by ashneer Grover🤔 #viral #ashneer #business,https://www.youtube.com/watch?v=XIb5607yEKs,2024-09-14 16:05:57,The sandboarding,https://www.youtube.com/channel/UCL_68J59jLT-xP99WvhT-WQ,2024-09-14,2024,9,September,Saturday,14,16,5
He came. He saw. He got somesing Beddar. @GoldenGully,https://www.youtube.com/watch?v=j45i3kQYhmE,2024-09-14 16:05:09,Shelby's Canada,https://www.youtube.com/channel/UCxVuxiprEIOItdZlAhfz5MQ,2024-09-14,2024,9,September,Saturday,14,16,5
12 ghanto Ke under 3000 rupye nahi Diya to #minivlog #shorts #shortvideo,https://www.youtube.com/watch?v=8OWo9DrNNZw,2024-09-14 16:04:16,shubham shelke vlogs,https://www.youtube.com/channel/UCktyoo_lp7Sg5Lp31PSRsNQ,2024-09-14,2024,9,September,Saturday,14,16,4
